"分類","標題","URL","內文","內部連結"
"【    出國事宜      】","◇ 暑假去歐洲該穿什麼呀?","https://www.ptt.cc/man/EuropeTravel/D4FA/M.927716253.A.html","在奧地利的話只要穿夏裝就夠了
    我去年暑假去法瑞奧 覺得奧地利陽光最大 氣溫最高 最有夏天的感覺
    瑞士比較冷 感覺像秋天 如果有要去鐵力士山 一定要帶厚外套
    圍巾和墨鏡(鐵力士山山頂只有一度 很冷!)
    法國白天也挺熱 不過早晚蠻冷 建議你多帶短上衣與長襯衫或外套
    外長內短穿最方便 下半身最好是輕磅牛仔褲

--

◆ From: as7po46.ht.ficn",""
"【    出國事宜      】","◇ 有關「雪衣」？","https://www.ptt.cc/man/EuropeTravel/D4FA/M.934005702.A.html","依我今年寒假去歐洲的經驗..（我沒去德國啦！也許你可以參考一下）
     法國巴黎、義大利米蘭﹕

            最好到當地在買大衣，因為那邊的人不管多窮，都一定
            會穿那種長大衣，像我穿一件Jackwolfskin的雪衣（一件
            也要7-8000台幣的），到那邊還被人家瞧不起說....

     西班牙巴賽隆納、英國倫敦或是其他觀光客多的地方﹕

            可以隨便穿....

（ps.如果去的時候剛好有打折，可以直接在當地買，因為真的很便宜）


----------------------------------------------------------------
我的簽名檔

             現在是空的，因為不知道要寫啥...
----------------------------------------------------------------

--

◆ From: 210.65.42.213",""
"【    出國事宜      】","◇ 土希以埃 跟團問題","https://www.ptt.cc/man/EuropeTravel/D4FA/M.951146033.A.html","到台北市自助旅行協會問問看,
他們這類的行程滿多的唷.



tel:(02)2720-0622

fax:(02)2722-9481

add:北市光復南路473巷11弄34號1樓   110

web site:titaguide.tw.to


good luck.

--



  不過人的一生,如果不品嘗一次絕望的滋味,
      就無法看清自己到底真正放不下的是什麼,也不知道真正令自己快樂的是什麼.

--

◆ From: pc216.f4.ntu.edu.tw",""
"【    出國事宜      】","◇ 役男出境需辦理什麼手續？","https://www.ptt.cc/man/EuropeTravel/D4FA/M.965786934.A.html","應該是一定要在戶籍地辦吧 如果你未成年要攜帶監護人的印章

     本人的印章最好也帶去

     就是戶籍所在地戶政事務所的兵役課申請就好了

     他會問你在外停留時間之類的 你就給他寫滿60天就好了

     因為聽說沒有如期歸國可能下次申請時會受刁難

--

       i skate hiphop,live hiphop,and breath hiphop

--

◆ From: a4128.ts.nccu.edu.tw",""
"【    出國事宜      】","◇ [心得] 中文線上查詢世界飛機航班","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1024530063.A.html","As Title!
昨天發現的，超方便..

艾瑪迪斯

http://www.amadeus.com.tw/


供大家參考..

--

◆ From: 168.95.4.249","http://www.amadeus.com.tw/"
"【    出國事宜      】","◇ 自助旅行完整配備","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1025484586.A.F30.html","以下是從椰林精華區看來的  給你做點參考:)

==
.大背包    或你擅於處理的大件行李
.小背包    隨身用
.貼身腰包  存放重要證件如旅行支票,護照,機票
.內衣褲    穿一帶三,或免洗衣褲
.外衣      穿一帶三,或可拾配組合成n種造型
.保暖外套  厚外套或羽毛衣.搭夜車時可當枕頭或棉被
.睡套      住宿青年旅館用,確保個人衛生
.游泳衣褲  海灘或旅館內游泳池可用
.襪子      穿一帶二
.帽子圍巾  防曬,禦寒,裝飾
.手套      堆雪人
.鞋子      舒適耐穿,避免穿新鞋
.拖鞋      房間內或浴室內可用
.盥洗用具  牙膏,牙刷,洗髮精,沐浴乳,洗面乳,毛巾,刮鬍刀,指甲剪
.洗衣粉    自備或旅館房間浴室內之香皂
.雨具      小飛俠雨衣,小折傘
.護照      注意效期須超過半年以上
.簽證      注意單次或多次進出,效期
.機票      國外確認機位電話號碼,電腦代號,效期
.平安保險  不怕一萬,只怕萬一,備妥海外急難救助卡
.旅支支票  別忘了先簽上名字,並登錄支票號碼
.信用卡    出門前別忘了提高消費額度,並記位卡號
.國際駕照  監理站可辦理.開車時別忘了遵守交通規則
.YH證      青年旅館會員.廉價住宿,可結交各國同好
.ISIC證    國際學生證,門票享折扣
.二吋相片  數張以防萬一補辦證件或落地簽證用
.聯絡電話  我國駐外單位,信用卡掛失,親朋好友地址
.旅遊資料  地圖,資料,筆記本,筆
.保養品    面霜,乳液,防曬油
.化粧品    保持清新的形象
.生理用品
.眼鏡      太陽眼鏡,備份眼鏡,隱形眼鏡,藥水
.藥品      感冒,止痛,退燒,止瀉,胃藥,外用藥膏,OK繃
.吹風機    注意電壓轉換與插頭形式.把頭髮剪短
.電湯匙    注意電壓轉換與插頭式,注意用電安全
.小鋼杯    泡茶,泡麵,泡咖啡
.相機      國外底片,電池不便宜,請多準備
.鬧鐘      提醒你準時
.瑞士刀    開瓶,開罐,切水果
.紀念品    國民外交用,郵票,中國結,國刻臉譜,筷子
.證件備份  機票,簽證,護,照信用卡號,旅行支票號碼,旅行支票號碼.(留一份在家)

==
其他沒提到的
就自己補上唄~~~

重點是
能少帶就少帶  免得給自己帶來困擾

一個即將也要自助旅行的人

--

◆ From: 210.85.115.97",""
"【    出國事宜      】","◇ 西歐自助旅行網路資源(basic)","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1070763140.A.321.html","歡迎轉貼              ※ [本文轉錄自 MSA-CIA 看板]    ptt2


http://www.dc543.com/viewtopic.php?t=7358

一些貼到攝影網站上的照片精選 (2003歐遊)


行前準備




A.台北市自助旅行協會
  
http://www.tita.org.tw/


B.Let's Go/Lonely Planet/米其林指南
                                等旅遊書介紹與比較
1. 
http://mail.scu.edu.tw/~jasmine/page2-1.htm)

2. 
http://www.tita.org.tw/tip/2.html




A.經濟住宿/青年旅館(hostels)
1.
http://www.bugeurope.com/reviews/

       相當棒的精華區 有來自四方的遊者寫的reviews.
2.
http://www.hostelbooking.com/ibnpub/english/static/map_europe.asp

       網上訂 YH系統的hostels (多附有實地照片)


B.機票/歐鐵火車聯票

1.玉山票務      
http://www.ysticket.com/

2.飛達旅遊網    
http://www.gofederal.com.tw/


         　　　   　
　　　　                 



--

◆ From: 140.112.212.210","http://www.dc543.com/viewtopic.php?t=7358|http://www.tita.org.tw/|http://mail.scu.edu.tw/~jasmine/page2-1.htm)|http://www.tita.org.tw/tip/2.html|http://www.bugeurope.com/reviews/|http://www.hostelbooking.com/ibnpub/english/static/map_europe.asp|http://www.ysticket.com/|http://www.gofederal.com.tw/"
"【    出國事宜      】","◇ 可以定歐洲內陸機票的網站","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1074533078.A.AC1.html","這幾個網站可以定歐洲內陸機票

  不過都是不大的飛機

  有時有特價都超級便宜  比坐火車還便宜許多 而且又快

  
http://www.airberlin.com/site/index.php?LANG=eng


https://www.easyjet.com/en/book/index.asp


http://www13.germanwings.com/index.en.shtml


http://www.hlx.com/en/index.html


http://www.ryanair.com/


  我貼的都是英文版的站

  若是發現不是英文版 可以選英文版或是選英國國旗即可

--


      我想我並不適合愛你
       因為在愛你的同時
        我往往失去了我自已

--

◆ From: 81.69.176.132","http://www.airberlin.com/site/index.php?LANG=eng|https://www.easyjet.com/en/book/index.asp|http://www13.germanwings.com/index.en.shtml|http://www.hlx.com/en/index.html|http://www.ryanair.com/"
"【    出國事宜      】","◇ [心得] 定國外的旅館","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1096112909.A.B1D.html","推薦大家三個網站

1.足跡百羅 (中文) 
http://www.buylowtravel.com.tw


2.Virtual Tourist (英文) 
http://www.virtualtourist.com/vt/


3.Hotel club (中文) 
http://www.hotelclub.net/



1 跟 2 都很便宜 可以去這兩個網頁定
但 旅館較少 且 介紹不清
因此我會在 1 2中鎖定一些旅館
接著去 3 看旅館的相關資料
希望對大家有幫助 ^^

--
思念......
是從記憶深處隨風飄來ㄉ熟悉味道.

--

◆ From: 140.116.179.96","http://www.buylowtravel.com.tw|http://www.virtualtourist.com/vt/|http://www.hotelclub.net/"
"【    出國事宜      】","◇ 民宿網站","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1108778790.A.780.html","荷蘭

http://www.bedandbreakfast.nl/


http://www.holland.com/global/index.html
  > Look & book  > Accommodation


英國

http://www.ukbed.com/


http://www.smoothhound.co.uk/



www.holland.com與www.smoothhound.co.uk的資料應足以找到符合需求的住宿


--

◆ From: 140.119.136.111



作者: oekonux (Tux & Lars) 看板: EuropeTravel
標題: Re: [問題] 民宿網站
時間: Mon Feb 14 21:20:12 2005

可以搜尋全歐洲便宜旅館的


http://www.bootsnall.co.uk/hostels/eu/


荷蘭的民宿便宜旅館:

http://www.simplyamsterdam.nl/


http://www.hotels.nl/search.html


http://www.bedandbreakfast.nl/defaultEN.asp


搜尋全世界便宜青年旅館的


http://www.hostel.com
 (這個上面還可以買便宜的旅遊保險)

--
************
一蕊花生落地
爸爸媽媽疼尚多
風那吹愛甲被
覅通乎伊墮落黑暗地
要開的花 需要你我的關心

--

◆ From: 81.174.12.206","http://www.bedandbreakfast.nl/|http://www.holland.com/global/index.html|http://www.ukbed.com/|http://www.smoothhound.co.uk/|http://www.bootsnall.co.uk/hostels/eu/|http://www.simplyamsterdam.nl/|http://www.hotels.nl/search.html|http://www.bedandbreakfast.nl/defaultEN.asp|http://www.hostel.com"
