"文章標題","文章URL"
"◇ [問題] 一個叫做 Marzipan stollen 的糖霜蛋糕","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1135979477.A.4B3.html"
"◇ [請益] 慕尼黑民宿","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1136849164.A.013.html"
"◇ [請益] 德國鐵路","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1137208117.A.CDC.html"
"◇ [問題] 德國在台協會網站裡關於各類簽證的要求?","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1139203734.A.2F5.html"
"◇ [請益] 德國鐵路有從慕尼黑到諾林根","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1140751887.A.C34.html"
"◇ [請益] 請問有沒有人去過德國 黑森林呢?","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1142426299.A.12B.html"
"◇ [問題] 請教幾個去德國南部旅行的問題","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1143175049.A.72D.html"
"◇ [情報] 德國南部巴伐利亞邦票","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1143175153.A.B37.html"
"◇ [問題] 請幫我看一下這樣的德南行程","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1143423699.A.0BC.html"
"◇ [請益] 新天鵝堡附近的住宿","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1144378455.A.C66.html"
"◇ [問題] 德國二星期行程…請各位大大幫我看一下 …","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1144676424.A.0AC.html"
"◇ [心得] 德國球場交通與住宿分享~","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1144676969.A.6DD.html"
"◇ [請益]可以幫忙看看 DE自助旅行行程嗎~","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1144858044.A.446.html"
"◇ [問題]請教德國鐵路訂票問題","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1144978598.A.09E.html"
"◇ [問題] 德國西南部的Outlet","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1145460463.A.6FD.html"
"◇ [請益] 國王湖Schieffmeister住宿","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1147105153.A.C0B.html"
"◇ [轉錄] 德國旅遊警訊","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1149429812.A.1EB.html"
"◇ [問題] 慕尼黑哪裡有中國超市","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1149517369.A.8AE.html"
"◇ [請益] 德國國鐵票好? 還是當地買比較好?","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1150730963.A.536.html"
"◇ 柏林旅遊實用小錦囊--便宜的寄物處","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1151359141.A.63E.html"
"◇ [問題] 德鐵英文查詢網站","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1151926283.A.98C.html"
"◇ [問題]想去德國玩 不會德文怎麼辦?","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1154074977.A.F3E.html"
"◇ 德國自助旅行","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1154077724.A.C19.html"
"◇ [問題] 關於德國火車交通轉乘的問題","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1154077910.A.53B.html"
"◇ [問題] 請問德國搭公車","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1154309915.A.D02.html"
"◇ [閒聊] 吃在慕尼黑-皇家啤酒屋(HB)","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1157670716.A.5FC.html"
"◇ [心得] 德國紀行--漢堡","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1247995323.A.64C.html"
"◇ [心得] 第一次的歐洲行-德奧","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1253658461.A.5A5.html"
"◇ [心得] 巴哈的故鄉...萊比錫","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1254236888.A.4F0.html"
"◇ [心得] 林茲Mauthausen集中營","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1295916509.A.5D7.html"
"◇ [遊記] 再訪德烈斯登","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1302102972.A.03D.html"
"◇ [遊記]德南+伯林+波斯坦(2010 summer)","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1303732184.A.2D5.html"
"◇ [遊記] 德國海德堡一路走到掛","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1312375515.A.F2C.html"
"◇ [遊記] 2011/5德國-慕尼黑/新天鵝堡","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1312552916.A.D6D.html"
"◇ [遊記] Munich慕尼黑宮廷釀酒廠","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1313078857.A.EEB.html"
"◇ [心得] 2011/5德國-慕尼黑市區*夜","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1313078884.A.847.html"
"◇ [遊記] 德國 國王湖","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1313962329.A.D54.html"
"◇ [分享]南德:新天鵝堡，慕尼黑行程","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1315518364.A.34A.html"
"◇ [遊記] 德國Berchtesgaden遠離塵囂","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1316101712.A.DF6.html"
"◇ [遊記]紐倫堡，可以去逛逛","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1316102262.A.AED.html"
"◇ [遊記] 推薦東德Dresden的餐廳--Anno Domini","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1316818392.A.749.html"
"◇ [心得] Goethe 之 Heidelberg","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1318939228.A.19C.html"
"◇ [遊記] 德國：科隆大教堂","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1319358203.A.737.html"
"◇ [遊記] 德國：Trier～第二羅馬","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1319770316.A.E5F.html"
